Cell,OCV,TailVolt,Diff,Group
36,3.8418940000000004,3.93573345454545,0.0938394545454546,3
28,3.8420655,3.9343881818181803,0.0923226818181817,3
61,3.8396644999999996,3.93420109090909,0.0945365909090907,3
30,3.8453730000000004,3.93631254545455,0.0909395454545456,3
91,3.839542,3.93531472727273,0.0957727272727276,3
200,3.85875,3.94614818181818,0.0873981818181817,3
2,3.8315794999999997,3.9282676363636404,0.0966881363636363,3
172,3.8603669999999997,3.94272709090909,0.0823600909090909,3
18,3.838317,3.9370519999999996,0.098735,3
137,3.8575985,3.9387625454545496,0.0811640454545457,3
100,3.84111,3.943422,0.102312,3
134,3.8572065,3.93731927272727,0.08011277272727299,3
119,3.8455934999999997,3.95348927272727,0.107895772727272,3
84,3.8405955,3.9477696363636405,0.107174136363636,4
129,3.857476,3.93782709090909,0.0803510909090912,4
